x-spline, y-spline, z-spline, radius
0.000,0.000,0.000,9.500
2.000,0.000,0.000,9.470
4.000,0.000,0.000,9.200
6.000,0.000,0.000,8.680
8.000,0.000,0.000,8.420
10.000,0.000,0.000,7.900
12.000,0.000,0.000,7.100
14.000,0.000,0.000,6.840
16.000,0.000,0.000,5.790
18.000,0.000,0.000,5.000
20.000,0.000,0.000,3.950
22.000,0.000,0.000,3.160
24.000,0.000,0.000,2.370
25.000,0.000,0.000,2.500
27.000,0.000,0.000,2.591
29.000,0.000,0.000,2.682
31.000,0.000,0.000,2.773
33.000,0.000,0.000,2.864
35.000,0.000,0.000,2.955
37.000,0.000,0.000,3.045
39.000,0.000,0.000,3.136
41.000,0.000,0.000,3.227
43.000,0.000,0.000,3.318
45.000,0.000,0.000,3.409
47.000,0.000,0.000,3.500
49.000,0.000,0.000,3.591
51.000,0.000,0.000,3.682
53.000,0.000,0.000,3.773
55.000,0.000,0.000,3.864
57.000,0.000,0.000,3.955
59.000,0.000,0.000,4.045
61.000,0.000,0.000,4.136
63.000,0.000,0.000,4.227
65.000,0.000,0.000,4.318
67.000,0.000,0.000,4.409
69.000,0.000,0.000,4.500
71.000,0.000,0.000,4.591
73.000,0.000,0.000,4.682
75.000,0.000,0.000,4.773
77.000,0.000,0.000,4.864
79.000,0.000,0.000,4.955
80.000,0.000,0.000,5.000
82.000,0.000,0.000,5.067
84.000,0.000,0.000,5.133
86.000,0.000,0.000,5.200
88.000,0.000,0.000,5.267
90.000,0.000,0.000,5.333
92.000,0.000,0.000,5.400
94.000,0.000,0.000,5.467
96.000,0.000,0.000,5.533
98.000,0.000,0.000,5.600
100.000,0.000,0.000,5.667
102.000,0.000,0.000,5.733
104.000,0.000,0.000,5.800
106.000,0.000,0.000,5.867
108.000,0.000,0.000,5.933
110.000,0.000,0.000,6.500
112.000,0.000,0.000,6.525
114.000,0.000,0.000,6.550
116.000,0.000,0.000,6.575
118.000,0.000,0.000,6.600
120.000,0.000,0.000,6.625
122.000,0.000,0.000,6.650
124.000,0.000,0.000,6.675
126.000,0.000,0.000,6.700
128.000,0.000,0.000,6.725
130.000,0.000,0.000,6.750
132.000,0.000,0.000,6.775
134.000,0.000,0.000,6.800
136.000,0.000,0.000,6.825
138.000,0.000,0.000,6.850
140.000,0.000,0.000,6.875
142.000,0.000,0.000,6.900
144.000,0.000,0.000,6.925
146.000,0.000,0.000,6.950
148.000,0.000,0.000,6.975
150.000,0.000,0.000,7.000
152.000,0.000,0.000,7.025
154.000,0.000,0.000,7.050
156.000,0.000,0.000,7.075
158.000,0.000,0.000,7.100
160.000,0.000,0.000,7.125
162.000,0.000,0.000,7.150
164.000,0.000,0.000,7.175
166.000,0.000,0.000,7.200
168.000,0.000,0.000,7.225
170.000,0.000,0.000,7.250
172.000,0.000,0.000,7.275
174.000,0.000,0.000,7.300
176.000,0.000,0.000,7.325
178.000,0.000,0.000,7.350
180.000,0.000,0.000,7.375
182.000,0.000,0.000,7.400
184.000,0.000,0.000,7.425
186.000,0.000,0.000,7.450
188.000,0.000,0.000,7.475
190.000,0.000,0.000,7.500
192.000,0.000,0.000,7.525
194.000,0.000,0.000,7.550
196.000,0.000,0.000,7.575
198.000,0.000,0.000,7.600
200.000,0.000,0.000,7.625
202.000,0.000,0.000,7.650
204.000,0.000,0.000,7.675
206.000,0.000,0.000,7.700
208.000,0.000,0.000,7.725
210.000,0.000,0.000,7.750
212.000,0.000,0.000,7.775
214.000,0.000,0.000,7.800
216.000,0.000,0.000,7.825
218.000,0.000,0.000,7.850
220.000,0.000,0.000,7.875
222.000,0.000,0.000,7.900
224.000,0.000,0.000,7.925
226.000,0.000,0.000,7.950
228.000,0.000,0.000,7.975
230.000,0.000,0.000,8.000
232.000,0.000,0.000,8.025
234.000,0.000,0.000,8.050
236.000,0.000,0.000,8.075
238.000,0.000,0.000,8.100
240.000,0.000,0.000,8.125
242.000,0.000,0.000,8.150
244.000,0.000,0.000,8.175
246.000,0.000,0.000,8.200
248.000,0.000,0.000,8.225
250.000,0.000,0.000,8.250
252.000,0.000,0.000,8.275
254.000,0.000,0.000,8.300
256.000,0.000,0.000,8.325
258.000,0.000,0.000,8.350
260.000,0.000,0.000,8.375
262.000,0.000,0.000,8.400
264.000,0.000,0.000,8.425
266.000,0.000,0.000,8.450
268.000,0.000,0.000,8.475
270.000,0.000,0.000,8.500
272.000,0.000,0.000,8.525
274.000,0.000,0.000,8.550
276.000,0.000,0.000,8.575
278.000,0.000,0.000,8.600
280.000,0.000,0.000,8.625
282.000,0.000,0.000,8.650
284.000,0.000,0.000,8.675
286.000,0.000,0.000,8.700
288.000,0.000,0.000,8.725
290.000,0.000,0.000,8.750
292.000,0.000,0.000,8.775
294.000,0.000,0.000,8.800
296.000,0.000,0.000,8.825
298.000,0.000,0.000,8.850
300.000,0.000,0.000,8.875
302.000,0.000,0.000,8.900
304.000,0.000,0.000,8.925
306.000,0.000,0.000,8.950
308.000,0.000,0.000,8.975
310.000,0.000,0.000,9.000
312.000,0.000,0.000,9.025
314.000,0.000,0.000,9.050
316.000,0.000,0.000,9.075
318.000,0.000,0.000,9.100
320.000,0.000,0.000,9.125
322.000,0.000,0.000,9.150
324.000,0.000,0.000,9.175
326.000,0.000,0.000,9.200
328.000,0.000,0.000,9.225
330.000,0.000,0.000,9.250
332.000,0.000,0.000,9.275
334.000,0.000,0.000,9.300
336.000,0.000,0.000,9.325
338.000,0.000,0.000,9.350
340.000,0.000,0.000,9.375
342.000,0.000,0.000,9.400
344.000,0.000,0.000,9.425
346.000,0.000,0.000,9.450
348.000,0.000,0.000,9.475
350.000,0.000,0.000,9.500
352.000,0.000,0.000,9.525
354.000,0.000,0.000,9.550
356.000,0.000,0.000,9.575
358.000,0.000,0.000,9.600
360.000,0.000,0.000,9.625
362.000,0.000,0.000,9.650
364.000,0.000,0.000,9.675
366.000,0.000,0.000,9.700
368.000,0.000,0.000,9.725
370.000,0.000,0.000,9.750
372.000,0.000,0.000,9.775
374.000,0.000,0.000,9.800
376.000,0.000,0.000,9.825
378.000,0.000,0.000,9.850
380.000,0.000,0.000,9.875
382.000,0.000,0.000,9.900
384.000,0.000,0.000,9.925
386.000,0.000,0.000,9.950
388.000,0.000,0.000,9.975
390.000,0.000,0.000,10.000
392.000,0.000,0.000,10.025
394.000,0.000,0.000,10.050
396.000,0.000,0.000,10.075
398.000,0.000,0.000,10.100
400.000,0.000,0.000,10.125
402.000,0.000,0.000,10.150
