x-spline, y-spline, z-spline, radius
394.000,0.000,0.000,11.233
396.000,0.000,0.000,11.267
398.000,0.000,0.000,11.300
400.000,0.000,0.000,11.333
402.000,0.000,0.000,11.367
404.000,0.000,0.000,11.400
406.000,0.000,0.000,11.433
408.000,0.000,0.000,11.467
410.000,0.000,0.000,11.500
412.000,0.000,0.000,11.533
414.000,0.000,0.000,11.567
416.000,0.000,0.000,11.600
418.000,0.000,0.000,11.633
420.000,0.000,0.000,11.667
422.000,0.000,0.000,11.700
424.000,0.000,0.000,11.733
426.000,0.000,0.000,11.767
428.000,0.000,0.000,11.800
430.000,0.000,0.000,11.833
432.000,0.000,0.000,11.867
434.000,0.000,0.000,11.900
436.000,0.000,0.000,11.933
438.000,0.000,0.000,11.967
440.000,0.000,0.000,12.000
442.000,0.000,0.000,12.033
444.000,0.000,0.000,12.067
446.000,0.000,0.000,12.100
448.000,0.000,0.000,12.133
450.000,0.000,0.000,12.167
452.000,0.000,0.000,12.200
454.000,0.000,0.000,12.233
456.000,0.000,0.000,12.267
458.000,0.000,0.000,12.300
460.000,0.000,0.000,12.333
462.000,0.000,0.000,12.367
464.000,0.000,0.000,12.400
466.000,0.000,0.000,12.433
468.000,0.000,0.000,12.467
470.000,0.000,0.000,12.500
472.000,0.000,0.000,12.533
474.000,0.000,0.000,12.567
476.000,0.000,0.000,12.600
478.000,0.000,0.000,12.633
480.000,0.000,0.000,12.667
482.000,0.000,0.000,12.700
484.000,0.000,0.000,12.733
486.000,0.000,0.000,12.767
488.000,0.000,0.000,12.800
490.000,0.000,0.000,12.833
492.000,0.000,0.000,12.867
494.000,0.000,0.000,12.900
496.000,0.000,0.000,12.933
498.000,0.000,0.000,12.967
500.000,0.000,0.000,13.000
502.000,0.000,0.000,13.033
504.000,0.000,0.000,13.067
506.000,0.000,0.000,13.100
508.000,0.000,0.000,13.133
510.000,0.000,0.000,13.167
512.000,0.000,0.000,13.200
514.000,0.000,0.000,13.233
516.000,0.000,0.000,13.267
518.000,0.000,0.000,13.300
520.000,0.000,0.000,13.333
522.000,0.000,0.000,13.367
524.000,0.000,0.000,13.400
526.000,0.000,0.000,13.433
528.000,0.000,0.000,13.467
530.000,0.000,0.000,13.500
532.000,0.000,0.000,13.533
534.000,0.000,0.000,13.567
536.000,0.000,0.000,13.600
538.000,0.000,0.000,13.633
540.000,0.000,0.000,13.667
542.000,0.000,0.000,13.700
544.000,0.000,0.000,13.733
546.000,0.000,0.000,13.767
548.000,0.000,0.000,13.800
550.000,0.000,0.000,13.833
552.000,0.000,0.000,13.867
554.000,0.000,0.000,13.900
556.000,0.000,0.000,13.933
558.000,0.000,0.000,13.967
560.000,0.000,0.000,14.000
562.000,0.000,0.000,14.033
564.000,0.000,0.000,14.067
566.000,0.000,0.000,14.100
568.000,0.000,0.000,14.133
570.000,0.000,0.000,14.167
572.000,0.000,0.000,14.200
574.000,0.000,0.000,14.233
576.000,0.000,0.000,14.267
578.000,0.000,0.000,14.300
580.000,0.000,0.000,14.333
582.000,0.000,0.000,14.367
584.000,0.000,0.000,14.400
586.000,0.000,0.000,14.433
588.000,0.000,0.000,14.467
590.000,0.000,0.000,14.500
592.000,0.000,0.000,14.533
594.000,0.000,0.000,14.567
596.000,0.000,0.000,14.600
598.000,0.000,0.000,14.633
600.000,0.000,0.000,14.667
602.000,0.000,0.000,14.700
604.000,0.000,0.000,14.733
606.000,0.000,0.000,14.767
608.000,0.000,0.000,14.800
610.000,0.000,0.000,14.833
612.000,0.000,0.000,14.867
614.000,0.000,0.000,14.900
616.000,0.000,0.000,14.933
618.000,0.000,0.000,14.967
620.000,0.000,0.000,15.000
622.000,0.000,0.000,15.033
624.000,0.000,0.000,15.067
626.000,0.000,0.000,15.100
628.000,0.000,0.000,15.133
630.000,0.000,0.000,15.167
632.000,0.000,0.000,15.200
634.000,0.000,0.000,15.233
636.000,0.000,0.000,15.267
638.000,0.000,0.000,15.300
640.000,0.000,0.000,15.333
642.000,0.000,0.000,15.367
644.000,0.000,0.000,15.400
646.000,0.000,0.000,15.433
648.000,0.000,0.000,15.467
650.000,0.000,0.000,15.500
652.000,0.000,0.000,15.533
654.000,0.000,0.000,15.567
656.000,0.000,0.000,15.600
658.000,0.000,0.000,15.633
660.000,0.000,0.000,15.667
662.000,0.000,0.000,15.700
664.000,0.000,0.000,15.733
666.000,0.000,0.000,15.767
668.000,0.000,0.000,15.800
670.000,0.000,0.000,15.833
672.000,0.000,0.000,15.867
674.000,0.000,0.000,15.900
676.000,0.000,0.000,15.933
678.000,0.000,0.000,15.967
680.000,0.000,0.000,16.500
682.000,0.000,0.000,16.525
684.000,0.000,0.000,16.551
686.000,0.000,0.000,16.576
688.000,0.000,0.000,16.601
